id,followers,genres,name,popularity
6ahlwhwCBtwhSeDO5vYMh5,18452.0,"['gothic rock', 'new wave']",Flesh For Lulu,32
6oiUtb62opnGTMn5FI0s3Y,670.0,['ilocano pop'],Del Horest,23
06Rbwc8jaQ1d5fDPZiasE0,13523.0,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop']",The Colourfield,32
7uH5aJgl8e1vjSp330W6kN,2734.0,"['classic opm', 'manila sound']",Tillie Moreno,26
4TROLx8HvrnfGGNo2ngL2N,34957.0,['pop rock'],Shawn Mullins,49
6Pp8KeD4Ffnznq14moK4tu,846.0,[],Chad,40
1wMgBX2MOcrEOXxRjghsZp,89.0,[],Leslie,27
50D6dchvbbHfDJJrPc31Lw,3716.0,['southern gospel'],Babbie Mason,34
7K9Q4cGPr0wZiMwiE5LcsU,5456.0,['christian a cappella'],Acapella Praise,28
2f5TIh7OVx3UixWpoiH8Yj,9253.0,[],Sonia,37
18YUfP2BHNemUkoyKBuH5p,487.0,[],I Axe,32
6qdDAOGENRXPhASjG1EsMq,1973.0,['classic opm'],Vehnee Saturno,28
0ksWtvRBwc7w6GYbJtUnqJ,2764.0,[],Porkchop Duo,25
4kUvcUNfiuEEl5mAa7bP44,4.0,[],Ars Cantica,25
59B2CHEMh1to8diq0jB92r,12697.0,"['new age', 'new age piano']",John Tesh,42
2dkb3kk4CLxUx0s2CJDuEv,6800.0,"['deep ragga', 'old school dancehall']",Nardo Ranks,33
7lsA0gpo4Uam6FnhzvqwsC,1702.0,['deep discofox'],Judas,25
2zVsfeSyFbCey7rq7PasHp,27136.0,"['diva house', 'freestyle', 'hip house', 'new wave pop']",Cathy Dennis,41
35DEXshgEFtbKyc34uWXq2,5703.0,['pinoy rock'],Moonpools & Caterpillars,30
5E3VMSkQZ8oV01Ef7Qd07n,176.0,[],Trina Belamide,26
3bc73Whx30ZxkTXMdnAmKz,4173.0,['classic opm'],Joanne Lorenzana,26
5YLXhjQdVWkWgW3LEojsrh,12396.0,"['pinoy reggae', 'pinoy rock']",Put3ska,26
7rZSNFWcYQe82CrZsEdgNN,7660.0,['classic opm'],Timmy Cruz,28
7uwPrVdjss0FyCCTzpLx5A,51731.0,"['new jack swing', 'r&b', 'urban contemporary']",The Tony Rich Project,43
6MvVFJb6iebegaT6FLxEAF,501.0,[],Juice,29
7xojBGlLd0SGscMIL31gdV,10127.0,['boy band'],Voices of Theory,35
6hoGQXDWXmzPEC7z74t4kv,32673.0,['pinoy idol pop'],Gimme 5,30
2Ev7vtPI38BE2kQvwmH4ce,7615.0,[],Arthur Miguel,37
5zuw7bDA3Eu8kckAZ8Bhae,64.0,[],Rique Franks,36
3SIW6eVIZSz9V05WsaKIr3,51240.0,[],Joey McIntyre,40
4HG9PDwrPxQf3PRurExbkX,41.0,[],Angee Rozul,32
30I8GIK3UqVyAg58557mdJ,382.0,[],Jack Joseph Puig,52
2Qh3TUYwJm0fpqBtMWnUPY,227.0,['tagalog worship'],Veepee Pinpin,30
66s5SwB0993O4szlD3Dp0n,7530.0,['sophisti-pop'],Workshy,34
23ZjlNvPebXWDom7arTP9h,415.0,['tagalog worship'],Ray Sison,31
63IS0IooKCS7rl4ACyWP4N,109.0,['tagalog worship'],Lionel Valdellon,31
4JgkKaAhbrxzR8MdB7UdWF,12813.0,[],Jinky Vidal,36
1r5cXPqjg3R4Q1FpKG1UJs,70.0,[],JOLO,34
499yCKP09gv5RgTRaPQfBn,23898.0,['pinoy hip hop'],Crazy As Pinoy,33
5CLK1XLj8BdvKn2PACSxDj,9.0,[],Sr. Bubbles Bandojo rc,30
2cUbJdYCo4RiAiTDCemgHF,19.0,['tagalog worship'],Arnel DC. Aquino Sj,30
1svnNTGU5TClzw5tKnuvfT,1102.0,['christian relaxative'],Steve Hall,41
1bbCZl3xdvaiG5PmeuKjji,291.0,[],Ito Rapadas,31
13VRqzYJxIUpx67aASZADe,142941.0,"['opm', 'pinoy rock']",Soapdish,47
4Tqev51V8UY0SE8nsL3MNv,15705.0,"['bisrock', 'pinoy reggae', 'vispop']",Missing Filemon,39
6M0MpnwmM5ypkHNBJDQnIu,55543.0,"['opm', 'pinoy metal', 'pinoy rock', 'rap metal']",Greyhoundz,33
3md8nxuNKjU6j2l4xE0UIh,529.0,[],Stagecrew,34
1TIiTdp6HVhVK6RXzEhb6C,39.0,[],Jay Contreras,33
2gdX1GbQ8sljsTVwDaIpkc,17499.0,['boy band'],Nu Flavor,37
51v81eaY4bPSzGTYjG9SlS,11719.0,"['opm', 'pinoy rock']",Juana,30
3i3YJ0RtwlBaIFovnYz3GX,785.0,[],Jay Durias,30
0JJ5TK4o8IGxYub8jXrxwW,14702.0,['pinoy idol pop'],Viva Hot Babes,30
4rulVipLmUL2Mg67SIUmCO,79312.0,"['ccm', 'christian alternative rock', 'christian music', 'worship']",Avalon,43
2FYiqfqFZFC9fUC23lbFWF,159.0,[],Jerome John Hughes,30
1WKRbtlk2YsvuiyfXrlIAV,5416.0,[],Kevyn Lettau,30
1W2FTsCUlviVRhHNjZwWiN,104323.0,"['nz christian', 'nz pop', 'worship']",Brooke Fraser,48
5C4PRic5gr4H5zr2v6ni7z,33773.0,"['opm', 'pinoy rock']",Stonefree,37
1YuD4C76P0aCRNMLFzP0RS,41248.0,['pinoy rock'],Dong Abay,37
1n9pyfNaKCPPOi6I3aKnkn,1433.0,['opm'],RJ Jimenez,33
4HyURxoVAZxaACHYQQxQYx,1689.0,"['calming instrumental', 'christian relaxative', 'classify', 'neoclassical darkwave', 'new age piano']",Bradley Joseph,42
2P3aLwJ41aRYkyFFw2FRM7,113425.0,['opm'],Sam Concepcion,47
1lMaDSraU3oiNUsVWJLHdF,209870.0,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",Jars Of Clay,49
4pMioc4PMH4FmdXWXj39Kd,198.0,[],Samantha Chavez,27
2vrCVfUJJjVDwfTxgHEDKa,336.0,['classic praise'],Rita Baloche,31
4GzIiGnHYrOnq2LUiD6zdo,30301.0,['novelty'],Jive Bunny and the Mastermixers,47
0WgggXT26SjnWxvq8IHjXC,1333.0,['pinoy rock'],P.O.T.,32
13C1r67pHZXIokdommj2dF,18188.0,"['grunge pop', 'pop rock']",Splender,35
4L9XV8FKfsJKAgxcSZOiP3,3645.0,"['ilocano pop', 'kundiman']",Ric Manrique Jr.,32
1eYsTWBpsNJujBHmetYak6,11464.0,['czsk hip hop'],AMK,42
7F9FobwEoTXZRdi1MAUFjX,51786.0,['brazilian gospel'],Alex Gonzaga,34
5VfC1cKlJXLcluxymeHu96,10476.0,['pinoy rock'],The Bloomfields,31
7zGwX4OwwtrvIT1xg3ocrr,22928.0,['viral pop'],Ahmir,37
24mz8QcWgmN8oGnuSY9Ftb,914.0,['tagalog worship'],Aia De Leon,29
204rRUtZ6aVfefn4b0DW62,19345.0,[],Joey De Leon,31
0uRc2tM7BgfG0i4vLraD5b,394.0,[],Nyoy Volante with Mannos,30
